playerID,WinPercent,H_Batting,HR_Batting,RBI_Batting,R_Batting,Doubles_Batting,Triples_Batting,BB_Batting,AB_Batting,PO_Fielding,A_Fielding,E_Fielding,DP_Fielding,SB_Fielding,CS_Fielding,ERA_Pitching,H_Pitching,SV_Pitching,BAOpp_Pitching,H_Battingp,HR_Battingp,RBI_Battingp,R_Battingp,Doubles_Battingp,Triples_Battingp,BB_Battingp,AB_Battingp,PO_Fieldingp,A_Fieldingp,E_Fieldingp,DP_Fieldingp,SB_Fieldingp,CS_Fieldingp,ERA_Pitchingp,H_Pitchingp,SV_Pitchingp,BAOpp_Pitchingp,GP_AllStar,careerAwards,WSWins,class
wilsowi02,0.5334,2207,41,585,1169,281,147,425,7731,5060,76,67,15,0,0,0,0,0,0,40,1,10,12,4,2,9,150,5060,76,67,15,0,0,0,0,0,0,2,3,1,0
wiseri01,0.4912,130,15,66,60,21,5,27,668,206,504,13,46,0,0,72.96,3227,0,4.88,0,0,0,0,0,0,0,2,206,504,13,46,0,0,72.96,3227,0,4.88,1,0,0,0
wynnji01,0.4808,1665,291,964,1105,285,39,1224,6653,3937,167,84,42,0,0,0,0,0,0,5,1,4,5,3,0,13,26,3937,167,84,42,0,0,0,0,0,0,3,0,1,0
yastrca01,0.5205,3419,452,1844,1816,646,59,1845,11988,10437,775,135,643,0,0,0,0,0,0,24,4,11,15,3,0,9,65,10437,775,135,643,0,0,0,0,0,0,14,8,0,1
yeagest01,0.5521,816,102,410,357,118,16,342,3584,6110,674,88,75,595,365,0,0,0,0,27,5,14,12,6,0,10,107,6110,674,88,75,595,365,0,0,0,0,0,0,1,0
ziskri01,0.5191,1477,207,792,681,245,26,533,5144,1680,68,33,20,0,0,0,0,0,0,8,0,0,1,1,0,2,20,1680,68,33,20,0,0,0,0,0,0,2,0,1,0
winfida01,0.4951,3110,465,1833,1669,540,88,1216,11003,5012,168,95,38,0,0,0,0,0,0,21,2,9,11,5,1,14,101,5012,168,95,38,0,0,0,0,0,0,12,13,1,1
yountro01,0.4987,3142,251,1406,1632,583,126,966,11008,5855,4850,305,963,0,0,0,0,0,0,22,1,7,11,3,1,9,64,5855,4850,305,963,0,0,0,0,0,0,3,6,0,1
zachrpa01,0.4649,36,0,6,9,0,0,14,318,60,176,13,19,0,0,40.22,1147,3,2.91,0,0,0,0,0,0,0,1,60,176,13,19,0,0,40.22,1147,3,2.91,0,0,1,0
zahnge01,0.5133,6,0,1,3,0,0,0,43,87,326,24,19,0,0,62.29,1978,1,3.81,0,0,0,0,0,0,0,0,87,326,24,19,0,0,62.29,1978,1,3.81,0,0,0,0
